Grade,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
6,1,1,5,10,4,3.6
6,1,2,5,10,3.6,3.6
6,1,1,5,10,2.4,2.2
6,1,1,5,10,3.2,3.4
6,1,1,5,10,3,2.6
6,1,1,5,10,5.2,3.6
6,1,1,5,10,2.2,1.6
6,1,1,5,10,2.6,3.8
6,1,1,5,10,3,2.6
6,1,1,5,10,3,2.6
6,1,1,5,10,3.8,2.6
6,1,1,5,10,3,3
6,1,1,5,10,4.6,4.6
6,1,1,5,10,4,3.8
6,1,1,5,10,4.2,4.6
6,1,1,5,10,4,3.6
6,1,1,5,10,3.8,3.8
6,2,1,5,10,2.4,1.8
6,1,1,5,10,4.2,3.6
6,1,2,5,10,2.4,1.8
4,2,1,15.78,5.26,2.8,2.2
4,1,1,15.78,5.26,2,2.6
4,1,1,15.78,5.26,3.2,3.2
4,1,1,15.78,5.26,5.2,3
4,1,1,15.78,5.26,2.8,4.6
4,1,1,15.78,5.26,2.6,3.4
4,1,1,15.78,5.26,2.4,3.4
4,1,1,15.78,5.26,2.2,2.2
4,2,1,15.78,5.26,2.2,2.6
4,1,1,15.78,5.26,1.8,2
4,1,1,15.78,5.26,1.6,1.6
4,1,1,15.78,5.26,2.6,4.2
4,1,2,15.78,5.26,2.4,2.8
4,1,1,15.78,5.26,3,3.2
4,1,1,15.78,5.26,2,3.2
4,1,1,15.78,5.26,3.2,3.4
4,1,1,15.78,5.26,2.8,4.2
4,1,1,15.78,5.26,2,1.8
4,2,1,15.78,5.26,2.8,2.6
6,1,1,19.05,9.52,6,4.2
6,2,2,19.05,9.52,3.4,4.6
6,1,1,19.05,9.52,3.8,5
6,1,1,19.05,9.52,5.6,4
6,1,1,19.05,9.52,1.6,3.2
6,1,1,19.05,9.52,1.6,1.8
6,1,1,19.05,9.52,1,2.2
6,1,1,19.05,9.52,4.2,5.6
6,1,2,19.05,9.52,1.4,1.4
6,2,1,19.05,9.52,1.2,2.2
6,1,1,19.05,9.52,1.6,3
6,1,1,19.05,9.52,3.4,2.8
6,1,1,19.05,9.52,1,2.4
6,1,1,19.05,9.52,4.6,5
6,1,1,19.05,9.52,2.2,3.4
6,1,1,19.05,9.52,1.2,2.6
6,2,1,19.05,9.52,2.2,3.4
6,1,1,19.05,9.52,2.8,3.8
6,1,1,19.05,9.52,2.2,3.4
6,1,1,19.05,9.52,4.4,4
6,2,1,19.05,9.52,3.6,5
5,1,1,33.33,4.76,5.6,4.4
5,2,1,33.33,4.76,1.6,2.4
5,1,1,33.33,4.76,6,5.2
5,1,1,33.33,4.76,4.4,3.6
5,2,1,33.33,4.76,2.4,4
5,1,1,33.33,4.76,3,3.2
5,1,1,33.33,4.76,5,4
5,2,1,33.33,4.76,1.4,3.2
5,1,2,33.33,4.76,2.8,2
5,1,1,33.33,4.76,4.4,4.4
5,2,1,33.33,4.76,2.2,1.8
5,2,1,33.33,4.76,1.6,3.4
5,1,1,33.33,4.76,1.4,3
5,1,1,33.33,4.76,4.4,5.8
5,1,1,33.33,4.76,3.2,3.6
5,1,1,33.33,4.76,4.6,5.6
5,1,1,33.33,4.76,1,1.2
5,1,1,33.33,4.76,4.4,5.6
5,2,1,33.33,4.76,2,2.6
5,2,1,33.33,4.76,2,3
5,1,1,33.33,4.76,4.2,4.2
5,1,1,36.84,5.2,5.6,5.6
5,1,1,36.84,5.2,4.6,3.4
5,1,1,36.84,5.2,5.2,5.6
5,2,1,36.84,5.2,3,3.6
5,1,1,36.84,5.2,1.8,3.2
5,1,2,36.84,5.2,2,2.2
5,1,1,36.84,5.2,3.6,4.8
5,2,1,36.84,5.2,1,1.2
5,2,1,36.84,5.2,1,2.2
5,1,1,36.84,5.2,4.6,5.6
5,1,1,36.84,5.2,4.8,5.2
5,2,1,36.84,5.2,2.6,3.2
5,2,1,36.84,5.2,2.6,2.8
5,1,1,36.84,5.2,4.4,5.2
5,1,1,36.84,5.2,2.8,3.4
5,1,1,36.84,5.2,3,3.2
5,1,1,36.84,5.2,1.6,2.4
5,2,1,36.84,5.2,1.2,2.4
5,2,1,36.84,5.2,4,4.4
3,1,2,13.64,77.27,3.8,3
3,1,2,13.64,77.27,1.8,1.8
3,1,2,13.64,77.27,3.2,3.8
3,1,2,13.64,77.27,2.2,1.8
3,1,2,13.64,77.27,1.6,1.4
3,1,2,13.64,77.27,2.4,1.8
3,1,2,13.64,77.27,1.6,1.8
3,1,1,13.64,77.27,3,3
3,1,1,13.64,77.27,4.2,3.4
3,1,2,13.64,77.27,3.4,2.6
3,1,2,13.64,77.27,3.2,2.6
3,1,2,13.64,77.27,3.6,3.4
3,1,2,13.64,77.27,4.2,4
3,2,2,13.64,77.27,2,2
3,1,2,13.64,77.27,3.8,3.2
3,1,1,13.64,77.27,3.6,3.6
3,2,2,13.64,77.27,4,2.8
3,1,2,13.64,77.27,3,3
3,1,1,13.64,77.27,2.6,2.6
3,1,1,13.64,77.27,3,3.6
3,2,2,13.64,77.27,3,2.6
