School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.685363426,0.522471667,10,0
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,0.204406636,0.522471667,5,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.238463734,-1.067659494,2,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.276550154,0.295310073,11,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.613336305,12,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,2.128233796,0.522471667,9,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.478942129,-1.749144277,7,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.997985339,0.749633262,11,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.613336305,12,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.613336305,12,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.444885031,-0.613336305,4,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.517028549,-0.159013116,0,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,1.406798611,1.65827964,6,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.685363426,0.749633262,1,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.925841821,1.65827964,13,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.685363426,0.522471667,10,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.444885031,0.749633262,1,0
1,1,1,40.0,2.0,6,20,2,1,5.0,10.0,-1.238463734,-1.521982683,7,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.925841821,0.522471667,10,0
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,-1.238463734,-1.521982683,7,0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.243285206,-0.920349632,4,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.783918998,-0.434609548,17,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.756887308,0.294000577,10,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,3.324897818,0.051130535,9,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.243285206,1.994090869,13,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515845,0.536870619,5,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.270316896,0.536870619,11,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.527117947,-0.920349632,8,0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,-0.527117947,-0.434609548,12,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.040720049,-1.163219674,2,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.2975211,-1.648959757,7,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515845,1.508350786,15,0
1,2,2,20.0,0.0,4,19,1,2,15.78,5.26,-0.270316896,-0.191739507,0,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.500086257,0.294000577,10,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.783918998,0.294000577,11,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.756887308,0.536870619,10,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.243285206,1.508350786,15,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.783918998,-1.406089716,8,0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.243285206,-0.434609548,4,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,2.077745633,0.622978026,9,0
1,3,3,20.0,0.0,6,21,2,2,19.05,9.52,0.384537998,0.967255357,15,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.64503148,1.311532687,13,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.817252151,0.450839361,9,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.787682673,-0.2377153,17,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.787682673,-1.442685956,8,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.178422896,-1.098408625,2,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.905524962,1.827948683,13,0
