School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Cluster,Gifted_Prob,Gifted
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,3.324897818,0.051130535,1,0.9999995939115721,1
8,1,42,30.0,1.0,3,16,1,1,18.75,18.75,2.06271852,-1.293768152,1,0.9999959258702359,1
3,3,14,20.0,0.0,5,23,1,2,26.09,4.3,1.699459926,-1.765254777,1,0.9999945182232347,1
4,3,20,,,4,22,1,1,13.64,13.64,2.439827024,-0.324684513,1,0.9999728451222063,1
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,-0.964125441,2.011374212,1,0.9998675366966381,1
9,6,54,30.0,1.0,6,21,2,1,38.1,9.52,1.700277234,-1.050119385,1,0.9998259604164481,1
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,3.321224827,2.823419578,1,0.9998116462721401,1
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,0.439025056,2.542119316,1,0.9998044062860887,1
8,6,47,50.0,3.0,6,21,1,1,23.81,0.0,1.089880934,-1.749620034,1,0.9993935210388992,1
7,4,37,30.0,1.0,4,21,2,1,23.8,0.0,1.076183912,-1.745944312,1,0.9993208099327605,1
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.180166278,2.383019724,1,0.9987495687367995,1
8,4,45,30.0,1.0,4,18,1,1,16.67,11.11,2.467616246,1.973478215,1,0.998594244846833,1
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,2.426560031,1.56150596,1,0.9983465802853648,1
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,2.128233796,0.522471667,1,0.9983164770039115,1
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.180166278,2.187013773,1,0.9982450661197285,1
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,2.268296125,1.040867752,1,0.9980204639354555,1
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.948220044,2.229923946,1,0.9979968248841249,1
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,1.816480929,2.256810519,1,0.9979676311590834,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,2.077745633,0.622978026,1,0.9975654810377346,0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.243285206,1.994090869,1,0.9975406815728797,0
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,2.084500914,0.828120078,1,0.9969378433500335,0
8,7,48,40.0,2.0,6,20,2,1,20.0,20.0,1.47458852,2.129129105,1,0.9968651845999843,0
4,2,19,30.0,1.0,4,22,1,1,22.73,9.09,1.182943036,2.088059178,1,0.9964571903649878,0
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,2.070550528,1.641009868,1,0.996241309375376,0
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,0.695196405,-1.974709204,1,0.9962147654745951,0
