School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,3.321224827,2.823419578,3.1718832523,1,0.9999906466527726,1
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,3.324897818,0.051130535,2.3427676331,1,0.9998374121879985,1
8,4,45,30.0,1.0,4,18,1,1,16.67,11.11,2.467616246,1.973478215,2.3193748366999998,1,0.9998236668724145,1
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.180166278,2.383019724,2.2410223118,1,0.9997685335472613,1
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,2.180166278,2.187013773,2.1822205265,1,0.9997160376305565,1
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,2.426560031,1.56150596,2.1670438097,1,0.999700644739667,1
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,1.948220044,2.229923946,2.0327312145999996,1,0.9995221128979465,1
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,1.816480929,2.256810519,1.9485798059999997,1,0.9993590608033379,1
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,2.070550528,1.641009868,1.9416883299999999,1,0.9993434545041445,1
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,2.268296125,1.040867752,1.9000676131,1,0.9992407449165241,1
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,1.975097707,1.652135511,1.8782090481999998,1,0.9991804899202955,1
8,7,48,40.0,2.0,6,20,1,1,20.0,20.0,1.747660468,1.91514628,1.7979062116,1,0.9989148542041393,1
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,1.874902709,1.612624773,1.7962193281999999,1,0.9989084316342757,1
5,5,25,40.0,2.0,5,22,1,1,18.18,9.09,1.843938509,1.521701916,1.7472675310999999,1,0.9987044706930974,1
3,4,15,30.0,1.0,5,20,1,1,35.0,5.0,1.645484463,1.949618572,1.7367246957,1,0.99865576179584,1
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.848280305,1.443169773,1.7267471454,1,0.9986079727775371,1
5,2,22,40.0,2.0,3,19,1,1,21.05,21.06,1.832251636,1.416726628,1.7075941336,1,0.99851140591134,1
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,2.084500914,0.828120078,1.7075866631999999,1,0.9985113669643634,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,1.889335099,1.276282829,1.705419418,1,0.9985000247321163,0
8,2,43,40.0,2.0,3,16,1,2,25.0,25.0,1.593917212,1.949572789,1.7006138851000001,1,0.9984745648018049,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,1.661858499,1.767031609,1.6934104319999999,1,0.998435586098686,0
8,7,48,40.0,2.0,6,20,2,1,20.0,20.0,1.47458852,2.129129105,1.6709506954999997,1,0.9983075208596139,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,1.71273975,1.562980094,1.6678118532,1,0.998288804410327,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,1.733573645,1.508017665,1.665906851,1,0.9982773440593672,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,1.506459555,2.023433044,1.6615516016999998,1,0.9982508531247694,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,2.128233796,0.522471667,1.6465051573,1,0.9981561478505487,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,1.819669636,1.234195622,1.6440274317999999,1,0.9981400665507226,0
4,3,20,,,4,22,1,1,13.64,13.64,1.626551349,1.684300911,1.6438762176,1,0.9981390805755125,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,2.077745633,0.622978026,1.6413153509,1,0.9981223028855938,0
7,8,41,30.0,1.0,6,21,2,1,19.05,0.0,1.661858499,1.527627326,1.6215891471,1,0.9979878754488206,0
9,4,52,20.0,0.0,4,25,1,2,16.0,16.0,1.613000283,1.627925319,1.6174777938,1,0.9979586646272678,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,1.613000283,1.627925319,1.6174777938,1,0.9979586646272678,0
9,4,52,20.0,0.0,4,25,1,2,16.0,16.0,1.613000283,1.627925319,1.6174777938,1,0.9979586646272678,0
4,3,20,,,4,22,1,1,13.64,13.64,2.439827024,-0.324684513,1.6104735629,1,0.9979079173649035,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,1.68103666,1.432968885,1.6066163274999998,1,0.997879432591866,0
2,4,9,40.0,2.0,5,20,1,2,5.0,70.0,1.627338345,1.552451475,1.604872284,1,0.9978664258782387,0
