School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted,AveAca_converted,AveSocio_converted
7,6,39,40,2,6,21,1,1,19.05,4.76,3.321224827,2.823419578,3.171883252,1,0.999990647,1,5.996375563,6
1,2,2,20,0,4,19,1,1,15.78,5.26,3.324897818,0.051130535,2.342767633,1,0.999837412,1,6,2.930522232
8,4,45,30,1,4,18,1,1,16.67,11.11,2.467616246,1.973478215,2.319374837,1,0.999823667,1,5.154050906,5.058945125
2,3,8,50,2,4,19,1,2,10.53,78.95,2.180166278,2.383019724,2.241022312,1,0.999768534,1,4.870400764,5.512389387
2,3,8,50,2,4,19,1,2,10.53,78.95,2.180166278,2.187013773,2.182220527,1,0.999716038,1,4.870400764,5.295371644
5,6,26,30,1,5,22,1,1,4.54,9.09,2.426560031,1.56150596,2.16704381,1,0.999700645,1,5.113537417,4.602809543
2,6,11,30,1,6,20,1,1,15,20,1.948220044,2.229923946,2.032731215,1,0.999522113,1,4.641520647,5.342881778
6,5,33,40,2,6,20,1,1,10,15,1.816480929,2.256810519,1.948579806,1,0.999359061,1,4.511523003,5.372650585
9,2,50,20,0,3,20,1,1,15,15,2.070550528,1.641009868,1.94168833,1,0.999343455,1,4.762234034,4.690836251
4,1,18,30,1,3,25,1,1,20,8,2.268296125,1.040867752,1.900067613,1,0.999240745,1,4.957365615,4.026359043
7,3,36,30,1,4,22,1,1,27.27,9.1,1.975097707,1.652135511,1.878209048,1,0.99918049,1,4.668043012,4.70315456
8,7,48,40,2,6,20,1,1,20,20,1.747660468,1.91514628,1.797906212,1,0.998914854,1,4.443612285,4.994360021
5,3,23,50,3,4,20,1,1,10,10,1.874902709,1.612624773,1.796219328,1,0.998908432,1,4.5691725,4.65940828
5,5,25,40,2,5,22,1,1,18.18,9.09,1.843938509,1.521701916,1.747267531,1,0.998704471,1,4.538617619,4.558738515
3,4,15,30,1,5,20,1,1,35,5,1.645484463,1.949618572,1.736724696,1,0.998655762,1,4.342786954,5.032527734
3,6,17,30,1,4,22,1,1,9.1,9.09,1.848280305,1.443169773,1.726747145,1,0.998607973,1,4.54290202,4.471787745
5,2,22,40,2,3,19,1,1,21.05,21.06,1.832251636,1.416726628,1.707594134,1,0.998511406,1,4.527085235,4.442509901
7,2,35,30,1,3,21,1,1,14.29,4.76,2.084500914,0.828120078,1.707586663,1,0.998511367,0,4.776000009,3.790804869
