School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.6853634257929886,0.5224716672976009
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,0.2044066357628215,0.5224716672976009
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.2384637343276803,-1.067659494042922
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.2765501542673456,0.2953100728203831
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824294,-0.6133363050884869
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,2.12823379588349,0.5224716672976009
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.4789421293427634,-1.7491442774745747
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.9979853393125964,0.7496332617748181
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824294,-0.6133363050884869
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824294,-0.6133363050884869
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.44488503077790476,-0.6133363050884869
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824294,-0.15901311613405192
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,1.4067986108382389,1.658279639683688
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.6853634257929886,0.7496332617748181
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.9258418208080723,1.658279639683688
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.6853634257929886,0.5224716672976009
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.44488503077790476,0.7496332617748181
1,1,1,40.0,2.0,6,20,2,1,5.0,10.0,-1.2384637343276803,-1.5219826829973573
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.9258418208080723,0.5224716672976009
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,-1.2384637343276803,-1.5219826829973573
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.24328520620507105,-0.9203496319921647
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.7839189977718946,-0.43460954844074434
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.7568873081935544,0.2940005768863864
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,3.324897818135969,0.051130535110675994
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.24328520620507105,1.9940908693163573
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515844789170076,0.5368706186620963
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.2703168957834118,0.5368706186620963
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.5271179467776529,-0.9203496319921647
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,-0.5271179467776529,-0.43460954844074434
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.0407200487661359,-1.163219673767875
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.2975210997603774,-1.6489597573192953
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515844789170076,1.5083507857649374
1,2,2,20.0,0.0,4,19,1,2,15.78,5.26,-0.2703168957834118,-0.19173950666503445
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.5000862571993128,0.2940005768863864
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.7839189977718946,0.2940005768863864
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.7568873081935544,0.5368706186620963
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.24328520620507105,1.5083507857649374
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.7839189977718946,-1.4060897155435852
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.24328520620507105,-0.43460954844074434
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,2.0777456330799673,0.6229780263745988
1,3,3,20.0,0.0,6,21,2,2,19.05,9.52,0.3845379977640537,0.9672553567395076
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.6450314801203479,1.3115326871044173
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,1.8172521507236725,0.4508393611921439
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.7876826728392708,-0.23771529953767465
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-0.7876826728392708,-1.4426859558148575
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,-1.1784228963737124,-1.098408625449948
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.9055249624766426,1.827948682651781
1,3,3,20.0,0.0,6,21,1,2,19.05,9.52,-0.9179294140174182,-1.7869632861797669
