School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,AveAca_StdDev_Before,AveSocio_StdDev_Before,AveAca_StdDev_After,AveSocio_StdDev_After
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.6853634257929886,0.5224716672976009,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,0.20440663576282153,0.5224716672976009,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.2384637343276803,-1.067659494042922,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.2765501542673456,0.2953100728203831,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824295,-0.6133363050884869,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,2.1282337958834905,0.5224716672976009,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-1.4789421293427636,-1.7491442774745747,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.9979853393125966,0.7496332617748181,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824295,-0.6133363050884869,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824295,-0.6133363050884869,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.4448850307779048,-0.6133363050884869,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,-0.5170285492824295,-0.15901311613405192,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,1.406798610838239,1.658279639683688,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.6853634257929886,0.7496332617748181,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.9258418208080724,1.658279639683688,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.6853634257929886,0.5224716672976009,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.4448850307779048,0.7496332617748181,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,2,1,5.0,10.0,-1.2384637343276803,-1.5219826829973573,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,0.9258418208080724,0.5224716672976009,0.8316755440232181,0.8804305167001208,1.0,1.0
1,1,1,40.0,2.0,6,20,1,2,5.0,10.0,-1.2384637343276803,-1.5219826829973573,0.8316755440232181,0.8804305167001208,1.0,1.0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.24328520620507105,-0.9203496319921647,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.7839189977718946,-0.43460954844074434,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.7568873081935544,0.2940005768863864,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,3.324897818135969,0.051130535110675994,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.24328520620507105,1.9940908693163573,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515844789170076,0.5368706186620963,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.2703168957834118,0.5368706186620963,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.5271179467776529,-0.9203496319921647,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,-0.5271179467776529,-0.43460954844074434,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.0407200487661359,-1.163219673767875,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-1.2975210997603774,-1.6489597573192953,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.013515844789170076,1.5083507857649374,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,2,15.78,5.26,-0.2703168957834118,-0.19173950666503445,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.5000862571993128,0.2940005768863864,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.7839189977718946,0.2940005768863864,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.7568873081935544,0.5368706186620963,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,0.24328520620507105,1.5083507857649374,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,-0.7839189977718946,-1.4060897155435852,0.7788130119626528,0.8234856738102734,1.0,1.0
1,2,2,20.0,0.0,4,19,2,1,15.78,5.26,0.24328520620507105,-0.43460954844074434,0.7788130119626528,0.8234856738102734,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,2.0777456330799673,0.6229780263745988,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,2,2,19.05,9.52,0.3845379977640537,0.9672553567395076,1.5355470562326516,1.161854019188625,1.0,1.0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,0.6450314801203479,1.3115326871044173,1.5355470562326516,1.161854019188625,1.0,1.0
