School,Teacher,Teacher ID,Teacher Age Group,Experience,Grade,Class size,Income Type,Ethnicity,% of low,% of multi,AveAca,AveSocio,Weighted_Score,Cluster,Gifted_Prob,Gifted
7,6,39,40.0,2.0,6,21,1,1,19.05,4.76,47.891023443,43.41077620200001,3.1718832523,1,0.9999906466527726,1
1,2,2,20.0,0.0,4,19,1,1,15.78,5.26,47.924080362,18.460174815000002,2.3427676331,1,0.9998374121879984,1
8,4,45,30.0,1.0,4,18,1,1,16.67,11.11,40.208546213999995,35.761303935,2.3193748367,1,0.9998236668724144,1
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,37.621496502,39.447177515999996,2.2410223118,1,0.9997685335472613,1
2,3,8,50.0,2.0,4,19,1,2,10.53,78.95,37.621496502,37.683123957,2.1822205265,1,0.9997160376305564,1
5,6,26,30.0,1.0,5,22,1,1,4.54,9.09,39.839040279,32.053553640000004,2.1670438097,1,0.999700644739667,1
2,6,11,30.0,1.0,6,20,1,1,15.0,20.0,35.533980396,38.069315514,2.0327312146,1,0.9995221128979463,1
6,5,33,40.0,2.0,6,20,1,1,10.0,15.0,34.348328361,38.311294671,1.948579806,1,0.999359060803338,1
9,2,50,20.0,0.0,3,20,1,1,15.0,15.0,36.634954752,32.769088812,1.94168833,1,0.9993434545041444,1
4,1,18,30.0,1.0,3,25,1,1,20.0,8.0,38.414665125,27.367809768,1.9000676131,1,0.999240744916524,1
7,3,36,30.0,1.0,4,22,1,1,27.27,9.1,35.775879363,32.869219599,1.8782090482,1,0.9991804899202956,1
8,7,48,40.0,2.0,6,20,1,1,20.0,20.0,33.728944212,35.23631652,1.7979062116,1,0.9989148542041392,1
5,3,23,50.0,3.0,4,20,1,1,10.0,10.0,34.874124381,32.513622957,1.7962193282,1,0.9989084316342756,1
5,5,25,40.0,2.0,5,22,1,1,18.18,9.09,34.595446581,31.695317244,1.7472675311,1,0.9987044706930974,1
3,4,15,30.0,1.0,5,20,1,1,35.0,5.0,32.809360167,35.546567147999994,1.7367246957,1,0.99865576179584,1
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,34.634522745,30.988527957,1.7267471454,1,0.9986079727775372,1
5,2,22,40.0,2.0,3,19,1,1,21.05,21.06,34.490264724,30.750539652,1.7075941336,1,0.99851140591134,1
7,2,35,30.0,1.0,3,21,1,1,14.29,4.76,36.760508226,25.453080702,1.7075866632,1,0.9985113669643634,0
2,5,10,20.0,0.0,6,19,1,1,15.79,42.1,35.004015891,29.486545461,1.705419418,1,0.9985000247321164,0
8,2,43,40.0,2.0,3,16,1,2,25.0,25.0,32.345254908,35.546155101,1.7006138851,1,0.9984745648018049,0
7,8,41,30.0,1.0,6,21,1,1,19.05,0.0,32.956726491,33.903284481,1.693410432,1,0.998435586098686,0
8,7,48,40.0,2.0,6,20,2,1,20.0,20.0,31.27129668,37.162161945,1.6709506954999995,1,0.998307520859614,0
3,6,17,30.0,1.0,4,22,1,1,9.1,9.09,33.414657749999996,32.066820846,1.6678118532,1,0.998288804410327,0
6,4,32,30.0,1.0,5,23,1,1,26.09,26.09,33.602162805,31.572158985,1.665906851,1,0.9982773440593672,0
6,3,31,20.0,0.0,5,22,1,1,13.64,4.55,31.558135995,36.21089739599999,1.6615516016999998,1,0.9982508531247694,0
1,1,1,40.0,2.0,6,20,1,1,5.0,10.0,37.154104164,22.702245003,1.6465051573,1,0.9981561478505488,0
1,4,4,40.0,2.0,5,21,1,1,33.33,4.76,34.377026724,29.107760598000002,1.6440274318,1,0.9981400665507226,0
4,3,20,,,4,22,1,1,13.64,13.64,32.638962141,33.158708199,1.6438762176,1,0.9981390805755124,0
1,3,3,20.0,0.0,6,21,1,1,19.05,9.52,36.699710697,23.606802234,1.6413153509,1,0.9981223028855938,0
7,8,41,30.0,1.0,6,21,2,1,19.05,0.0,32.956726491,31.748645934,1.6215891471,1,0.9979878754488206,0
9,4,52,20.0,0.0,4,25,1,2,16.0,16.0,32.517002547000004,32.65132787100001,1.6174777938,1,0.9979586646272678,0
9,4,52,20.0,0.0,4,25,1,1,16.0,16.0,32.517002547000004,32.65132787100001,1.6174777938,1,0.9979586646272678,0
9,4,52,20.0,0.0,4,25,1,2,16.0,16.0,32.517002547000004,32.65132787100001,1.6174777938,1,0.9979586646272678,0
4,3,20,,,4,22,1,1,13.64,13.64,39.958443216,15.077839383,1.6104735629,1,0.9979079173649036,0
1,5,5,30.0,1.0,5,20,1,1,36.84,5.2,33.129329940000005,30.896719965,1.6066163274999998,1,0.997879432591866,0
